00001 A00     0 Cholera                                                      Cholera
84168 T82591A 1 Mech compl of surgically created arteriovenous shunt, init   Other mechanical complication of surgically created arteriovenous shunt, initial encounter
84169 T82591D 1 Mech compl of surgically created arteriovenous shunt, subs   Other mechanical complication of surgically created arteriovenous shunt, subsequent encounter
84170 T82591S 1 Mech compl of surgically created AV shunt, sequela           Other mechanical complication of surgically created arteriovenous shunt, sequela
84171 T82592  0 Other mechanical complication of artificial heart            Other mechanical complication of artificial heart
84172 T82592A 1 Mech compl of artificial heart, initial encounter            Other mechanical complication of artificial heart, initial encounter
84173 T82592D 1 Mech compl of artificial heart, subsequent encounter         Other mechanical complication of artificial heart, subsequent encounter
84174 T82592S 1 Other mechanical complication of artificial heart, sequela   Other mechanical complication of artificial heart, sequela
84175 T82593  0 Mech compl of balloon (counterpulsation) device              Other mechanical complication of balloon (counterpulsation) device
84176 T82593A 1 Mech compl of balloon (counterpulsation) device, init encntr Other mechanical complication of balloon (counterpulsation) device, initial encounter
84177 T82593D 1 Mech compl of balloon (counterpulsation) device, subs encntr Other mechanical complication of balloon (counterpulsation) device, subsequent encounter
84178 T82593S 1 Mech compl of balloon (counterpulsation) device, sequela     Other mechanical complication of balloon (counterpulsation) device, sequela
84179 T82594  0 Other mechanical complication of infusion catheter           Other mechanical complication of infusion catheter
84180 T82594A 1 Mech compl of infusion catheter, initial encounter           Other mechanical complication of infusion catheter, initial encounter
84181 T82594D 1 Mech compl of infusion catheter, subsequent encounter        Other mechanical complication of infusion catheter, subsequent encounter
84182 T82594S 1 Other mechanical complication of infusion catheter, sequela  Other mechanical complication of infusion catheter, sequela
84183 T82595  0 Other mechanical complication of umbrella device             Other mechanical complication of umbrella device
84184 T82595A 1 Mech compl of umbrella device, initial encounter             Other mechanical complication of umbrella device, initial encounter
84185 T82595D 1 Mech compl of umbrella device, subsequent encounter          Other mechanical complication of umbrella device, subsequent encounter
84186 T82595S 1 Other mechanical complication of umbrella device, sequela    Other mechanical complication of umbrella device, sequela
84187 T82598  0 Mech compl of oth cardiac and vascular devices and implants  Other mechanical complication of other cardiac and vascular devices and implants
84188 T82598A 1 Mech compl of cardiac and vascular devices and implnt, init  Other mechanical complication of other cardiac and vascular devices and implants, initial encounter
84189 T82598D 1 Mech compl of cardiac and vascular devices and implnt, subs  Other mechanical complication of other cardiac and vascular devices and implants, subsequent encounter
84190 T82598S 1 Mech compl of cardiac and vasc devices and implnt, sequela   Other mechanical complication of other cardiac and vascular devices and implants, sequela
84191 T82599  0 Mech compl of unsp cardiac and vascular devices and implants Other mechanical complication of unspecified cardiac and vascular devices and implants
84192 T82599A 1 Mech compl of unsp cardiac and vasc devices and implnt, init Other mechanical complication of unspecified cardiac and vascular devices and implants, initial encounter
84193 T82599D 1 Mech compl of unsp cardiac and vasc devices and implnt, subs Other mechanical complication of unspecified cardiac and vascular devices and implants, subsequent encounter
84194 T82599S 1 Mech compl of unsp card and vasc devices and implnt, sequela Other mechanical complication of unspecified cardiac and vascular devices and implants, sequela
84195 T826    0 Infect/inflm reaction due to cardiac valve prosthesis        Infection and inflammatory reaction due to cardiac valve prosthesis
84196 T826XXA 1 Infect/inflm reaction due to cardiac valve prosthesis, init  Infection and inflammatory reaction due to cardiac valve prosthesis, initial encounter
84197 T826XXD 1 Infect/inflm reaction due to cardiac valve prosthesis, subs  Infection and inflammatory reaction due to cardiac valve prosthesis, subsequent encounter
84198 T826XXS 1 Infect/inflm reaction due to cardiac valve prosth, sequela   Infection and inflammatory reaction due to cardiac valve prosthesis, sequela
84199 T827    0 Infect/inflm reaction due to oth cardi/vasc dev/implnt/grft  Infection and inflammatory reaction due to other cardiac and vascular devices, implants and grafts
84200 T827XXA 1 Infect/inflm react d/t oth cardi/vasc dev/implnt/grft, init  Infection and inflammatory reaction due to other cardiac and vascular devices, implants and grafts, initial encounter
84201 T827XXD 1 Infect/inflm react d/t oth cardi/vasc dev/implnt/grft, subs  Infection and inflammatory reaction due to other cardiac and vascular devices, implants and grafts, subsequent encounter
84202 T827XXS 1 Infect/inflm react d/t oth cardi/vasc dev/implnt/grft, sqla  Infection and inflammatory reaction due to other cardiac and vascular devices, implants and grafts, sequela
84203 T828    0 Oth complications of cardiac and vascular prosth dev/grft    Other specified complications of cardiac and vascular prosthetic devices, implants and grafts
84204 T8281   0 Embolism due to cardiac and vascular prosth dev/grft         Embolism due to cardiac and vascular prosthetic devices, implants and grafts
84205 T82817  0 Embolism due to cardiac prosth dev/grft                      Embolism due to cardiac prosthetic devices, implants and grafts
84206 T82817A 1 Embolism due to cardiac prosth dev/grft, initial encounter   Embolism due to cardiac prosthetic devices, implants and grafts, initial encounter
84207 T82817D 1 Embolism due to cardiac prosth dev/grft, subs                Embolism due to cardiac prosthetic devices, implants and grafts, subsequent encounter
84208 T82817S 1 Embolism due to cardiac prosth dev/grft, sequela             Embolism due to cardiac prosthetic devices, implants and grafts, sequela
84209 T82818  0 Embolism due to vascular prosth dev/grft                     Embolism due to vascular prosthetic devices, implants and grafts
84210 T82818A 1 Embolism due to vascular prosth dev/grft, initial encounter  Embolism due to vascular prosthetic devices, implants and grafts, initial encounter
84211 T82818D 1 Embolism due to vascular prosth dev/grft, subs               Embolism due to vascular prosthetic devices, implants and grafts, subsequent encounter
84212 T82818S 1 Embolism due to vascular prosth dev/grft, sequela            Embolism due to vascular prosthetic devices, implants and grafts, sequela
84213 T8282   0 Fibrosis due to cardiac and vascular prosth dev/grft         Fibrosis due to cardiac and vascular prosthetic devices, implants and grafts
84214 T82827  0 Fibrosis due to cardiac prosth dev/grft                      Fibrosis due to cardiac prosthetic devices, implants and grafts
84215 T82827A 1 Fibrosis due to cardiac prosth dev/grft, initial encounter   Fibrosis due to cardiac prosthetic devices, implants and grafts, initial encounter
84216 T82827D 1 Fibrosis due to cardiac prosth dev/grft, subs                Fibrosis due to cardiac prosthetic devices, implants and grafts, subsequent encounter
84217 T82827S 1 Fibrosis due to cardiac prosth dev/grft, sequela             Fibrosis due to cardiac prosthetic devices, implants and grafts, sequela
84218 T82828  0 Fibrosis due to vascular prosth dev/grft                     Fibrosis due to vascular prosthetic devices, implants and grafts
84219 T82828A 1 Fibrosis due to vascular prosth dev/grft, initial encounter  Fibrosis due to vascular prosthetic devices, implants and grafts, initial encounter
84220 T82828D 1 Fibrosis due to vascular prosth dev/grft, subs               Fibrosis due to vascular prosthetic devices, implants and grafts, subsequent encounter
84221 T82828S 1 Fibrosis due to vascular prosth dev/grft, sequela            Fibrosis due to vascular prosthetic devices, implants and grafts, sequela
84222 T8283   0 Hemorrhage due to cardiac and vascular prosth dev/grft       Hemorrhage due to cardiac and vascular prosthetic devices, implants and grafts
